name, units, ads_name, short_name, paramid, access_type, fc, an, note
UV biologically effective dose clear-sky,dimensionless,uv_biologically_effective_dose_clear_sky,uvbedcs,214003.00,Fast access,X,X,Only available from 03 September 2015 00UTC


#-------------------------------------
# Single level Slow access parameters
#-------------------------------------

10 metre wind gust in the last 3 hours,m s-1,10m_wind_gust_in_the_last_3_hours,10fg3,228028.00,,,X,Only available from 21 June 2016 00UTC
Asymmetry factor at 1020 nm,dimensionless,asymmetry_factor_1020nm,asymmetry1020,215164.00,,X,X,Only available from 26 June 2018 12UTC
Asymmetry factor at 1064 nm,dimensionless,asymmetry_factor_1064nm,asymmetry1064,215165.00,,X,X,Only available from 26 June 2018 12UTC
Asymmetry factor at 1240 nm,dimensionless,asymmetry_factor_1240nm,asymmetry1240,215166.00,,X,X,Only available from 26 June 2018 12UTC
Asymmetry factor at 1640 nm,dimensionless,asymmetry_factor_1640nm,asymmetry1640,215167.00,,X,X,Only available from 26 June 2018 12UTC
Asymmetry factor at 2130 nm,dimensionless,asymmetry_factor_2130nm,asymmetry2130,215179.00,,X,X,Only available from 26 June 2018 12UTC
Asymmetry factor at 340 nm,dimensionless,asymmetry_factor_340nm,asymmetry340,215150.00,,X,X,Only available from 26 June 2018 12UTC
Asymmetry factor at 355 nm,dimensionless,asymmetry_factor_355nm,asymmetry355,215151.00,,X,X,Only available from 26 June 2018 12UTC
Asymmetry factor at 380 nm,dimensionless,asymmetry_factor_380nm,asymmetry380,215152.00,,X,X,Only available from 26 June 2018 12UTC
Asymmetry factor at 400 nm,dimensionless,asymmetry_factor_400nm,asymmetry400,215153.00,,X,X,Only available from 27 June 2018 00UTC
Asymmetry factor at 440 nm,dimensionless,asymmetry_factor_440nm,asymmetry440,215154.00,,X,X,Only available from 26 June 2018 12UTC
Asymmetry factor at 469 nm,dimensionless,asymmetry_factor_469nm,asymmetry469,215155.00,,X,X,Only available from 26 June 2018 12UTC
Asymmetry factor at 500 nm,dimensionless,asymmetry_factor_500nm,asymmetry500,215156.00,,X,X,Only available from 26 June 2018 12UTC
Asymmetry factor at 532 nm,dimensionless,asymmetry_factor_532nm,asymmetry532,215157.00,,X,X,Only available from 26 June 2018 12UTC
Asymmetry factor at 550 nm,dimensionless,asymmetry_factor_550nm,asymmetry550,215158.00,,X,X,Only available from 26 June 2018 12UTC
Asymmetry factor at 645 nm,dimensionless,asymmetry_factor_645nm,asymmetry645,215159.00,,X,X,Only available from 26 June 2018 12UTC
Asymmetry factor at 670 nm,dimensionless,asymmetry_factor_670nm,asymmetry670,215160.00,,X,X,Only available from 26 June 2018 12UTC
Asymmetry factor at 800 nm,dimensionless,asymmetry_factor_800nm,asymmetry800,215161.00,,X,X,Only available from 26 June 2018 12UTC
Asymmetry factor at 858 nm,dimensionless,asymmetry_factor_858nm,asymmetry858,215162.00,,X,X,Only available from 26 June 2018 12UTC
Asymmetry factor at 865 nm,dimensionless,asymmetry_factor_865nm,asymmetry865,215163.00,,X,X,Only available from 26 June 2018 12UTC
Boundary layer height,m,boundary_layer_height,blh,159.00,,X,,
Clear-sky direct solar radiation at surface,J m-2,clear_sky_direct_solar_radiation_at_surface,cdir,228022.00,,X,,
Clear sky surface photosynthetically active radiation,J m-2,clear_sky_surface_photosynthetically_active_radiation,parcs,20.00,,X,,Only available from 24 January 2017 12UTC
Cloud base height,m,cloud_base_height,cbh,228023.00,,X,,
Convective available potential energy,J kg-1,convective_available_potential_energy,cape,59.00,,X,,
Convective inhibition,J kg-1,convective_inhibition,cin,228001.00,,X,X,
Convective precipitation,m,convective_precipitation,cp,143.00,,X,X,
Direct solar radiation,J m-2,direct_solar_radiation,dsrp,47.00,,X,,Only available from 24 January 2017 12UTC
Downward UV radiation at the surface,J m-2,downward_uv_radiation_at_the_surface,uvb,57.00,,X,,
Dry deposition of ammonium aerosol,kg m-2 s-1,dry_deposition_of_ammonium_aerosol,aerddpam,215206.00,,X,,Only available from 9 July 2019 00UTC
Dry deposition of coarse-mode nitrate aerosol,kg m-2 s-1,dry_deposition_of_coarse_mode_nitrate_aerosol,aerddpnic,215192.00,,X,,Only available from 9 July 2019 00UTC
Dry deposition of dust aerosol (0.03 - 0.55 um),kg m-2 s-1,dry_deposition_of_dust_aerosol_0.03-0.55um,aerddpdus,215028.00,,X,,Only available from 26 June 2018 12UTC
Dry deposition of dust aerosol (0.55 - 9 um),kg m-2 s-1,dry_deposition_of_dust_aerosol_0.55-9um,aerddpdum,215029.00,,X,,Only available from 26 June 2018 12UTC
Dry deposition of dust aerosol (9 - 20 um),kg m-2 s-1,dry_deposition_of_dust_aerosol_9-20um,aerddpdul,215030.00,,X,,Only available from 26 June 2018 12UTC
Dry deposition of fine-mode nitrate aerosol,kg m-2 s-1,dry_deposition_of_fine_mode_nitrate_aerosol,aerddpnif,215191.00,,X,,Only available from 9 July 2019 00UTC
Dry deposition of hydrophilic black carbon aerosol,kg m-2 s-1,dry_deposition_of_hydrophilic_black_carbon_aerosol,aerddpbchphil,215068.00,,X,,Only available from 26 June 2018 12UTC
Dry deposition of hydrophilic organic matter aerosol,kg m-2 s-1,dry_deposition_of_hydrophilic_organic_matter_aerosol,aerddpomhphil,215052.00,,X,,Only available from 26 June 2018 12UTC
Dry deposition of hydrophobic black carbon aerosol,kg m-2 s-1,dry_deposition_of_hydrophobic_black_carbon_aerosol,aerddpbchphob,215067.00,,X,,Only available from 26 June 2018 12UTC
Dry deposition of hydrophobic organic matter aerosol,kg m-2 s-1,dry_deposition_of_hydrophobic_organic_matter_aerosol,aerddpomhphob,215051.00,,X,,Only available from 26 June 2018 12UTC
Dry deposition of sea salt aerosol (0.03 - 0.5 um),kg m-2 s-1,dry_deposition_of_sea_salt_aerosol_0.03-0.5um,aerddpsss,215004.00,,X,,Only available from 26 June 2018 12UTC
Dry deposition of sea salt aerosol (0.5 - 5 um),kg m-2 s-1,dry_deposition_of_sea_salt_aerosol_0.5-5um,aerddpssm,215005.00,,X,,Only available from 26 June 2018 12UTC
Dry deposition of sea salt aerosol (5 - 20 um),kg m-2 s-1,dry_deposition_of_sea_salt_aerosol_5-20um,aerddpssl,215006.00,,X,,Only available from 26 June 2018 12UTC
Dry deposition of sulphate aerosol,kg m-2 s-1,dry_deposition_of_sulphate_aerosol,aerddpsu,215082.00,,X,,Only available from 26 June 2018 12UTC
Dust aerosol (0.03 - 0.55 um) optical depth,dimensionless,dust_aerosol_0.03-0.55um_optical_depth_550nm,aeroddus,215046.00,,X,X,
Dust aerosol (0.55 - 9 um) optical depth,dimensionless,dust_aerosol_0.55-9um_optical_depth_550nm,aeroddum,215047.00,,X,X,
Dust aerosol (9 - 20 um) optical depth,dimensionless,dust_aerosol_9-20um_optical_depth_550nm,aeroddul,215048.00,,X,X,
Evaporation,m of water equivalent,evaporation,e,182.00,,X,,
Forecast albedo,(0 - 1),forecast_albedo,fal,243.00,,X,,
Friction velocity,m s-1,friction_velocity,zust,228003.00,,X,,
Height of convective cloud top,m,height_of_convective_cloud_top,hcct,228046.00,,X,,Only available from 24 January 2017 12UTC
High cloud cover,(0 - 1),high_cloud_cover,hcc,188.00,,X,X,
Hydrophilic black carbon aerosol optical depth,dimensionless,hydrophilic_black_carbon_aerosol_optical_depth_550nm,aerodbchphil,215080.00,,X,X,
Hydrophilic organic matter aerosol optical depth,dimensionless,hydrophilic_organic_matter_aerosol_optical_depth_550nm,aerodomhphil,215064.00,,X,X,
Hydrophobic black carbon aerosol optical depth,dimensionless,hydrophobic_black_carbon_aerosol_optical_depth_550nm,aerodbchphob,215079.00,,X,X,
Hydrophobic organic matter aerosol optical depth,dimensionless,hydrophobic_organic_matter_aerosol_optical_depth_550nm,aerodomhphob,215063.00,,X,X,
Lake cover,(0 - 1),lake_cover,cl,26.00,,X,X,Only available from 03 September 2015 00UTC
Large-scale precipitation,m,large_scale_precipitation,lsp,142.00,,X,,
"Leaf area index, high vegetation",m2 m-2,leaf_area_index_high_vegetation,lai_hv,67.00,,X,X,
"Leaf area index, low vegetation",m2 m-2,leaf_area_index_low_vegetation,lai_lv,66.00,,X,X,
Lifting threshold speed,m s-1,lifting_threshold_speed,aerlts,210053.00,,,X,
Low cloud cover,(0 - 1),low_cloud_cover,lcc,186.00,,X,X,
Medium cloud cover,(0 - 1),medium_cloud_cover,mcc,187.00,,X,X,
Coarse-mode nitrate aerosol optical depth at 550 nm,dimensionless,nitrate_coarse_mode_aerosol_optical_depth_550nm,aerodnic,215204.00,,X,X,Only available from 9 July 2019 00UTC
Fine-mode nitrate aerosol optical depth at 550 nm,dimensionless,nitrate_fine_mode_aerosol_optical_depth_550nm,aerodnif,215203.00,,X,X,Only available from 9 July 2019 00UTC
Photosynthetically active radiation at the surface,J m-2,photosynthetically_active_radiation_at_the_surface,par,58.00,,X,,
Potential evaporation,m,potential_evaporation,pev,228251.00,,X,,Only available from 21 June 2016 00UTC
Precipitation type,code table (4.201),precipitation_type,ptype,260015.00,,X,,Only available from 21 June 2016 00UTC
Sea ice area fraction,(0 - 1),sea_ice_cover,ci,31.00,,X,X,
Sea salt aerosol (0.03 - 0.5 um) optical depth,dimensionless,sea_salt_aerosol_0.03-0.5um_optical_depth_550nm,aerodsss,215022.00,,X,X,Only available from 26 June 2018 12UTC
Sea salt aerosol (0.5 - 5 um) optical depth,dimensionless,sea_salt_aerosol_0.5-5um_optical_depth_550nm,aerodssm,215023.00,,X,X,Only available from 26 June 2018 12UTC
Sea salt aerosol (5 - 20 um) optical depth,dimensionless,sea_salt_aerosol_5-20um_optical_depth_550nm,aerodssl,215024.00,,X,X,Only available from 26 June 2018 12UTC
Sea surface temperature,K,sea_surface_temperature,sst,34.00,,,X,
Secondary organic aerosol optical depth at 550 nm,dimensionless,secondary_organic_aerosol_optical_depth_550nm,soaod550,215226.00,,X,X,Available from 28 June 2023 
Sedimentation of ammonium aerosol,kg m-2 s-1,sedimentation_of_ammonium_aerosol,aersdmam,215207.00,,X,,Only available from 9 July 2019 00UTC
Sedimentation of coarse-mode nitrate aerosol,kg m-2 s-1,sedimentation_of_coarse_mode_nitrate_aerosol,aersdmnic,215194.00,,X,,Only available from 9 July 2019 00UTC
Sedimentation of dust aerosol (0.03 - 0.55 um),kg m-2 s-1,sedimentation_of_dust_aerosol_0.03-0.55um,aersdmdus,215031.00,,X,,Only available from 26 June 2018 12UTC
Sedimentation of dust aerosol (0.55 - 9 um),kg m-2 s-1,sedimentation_of_dust_aerosol_0.55-9um,aersdmdum,215032.00,,X,,Only available from 26 June 2018 12UTC
Sedimentation of dust aerosol (9 - 20 um),kg m-2 s-1,sedimentation_of_dust_aerosol_9-20um,aersdmdul,215033.00,,X,,Only available from 26 June 2018 12UTC
Sedimentation of fine-mode nitrate aerosol,kg m-2 s-1,sedimentation_of_fine_mode_nitrate_aerosol,aersdmnif,215193.00,,X,,Only available from 9 July 2019 00UTC
Sedimentation of hydrophilic black carbon aerosol,kg m-2 s-1,sedimentation_of_hydrophilic_black_carbon_aerosol,aersdmbchphil,215070.00,,X,,Only available from 26 June 2018 12UTC
Sedimentation of hydrophilic organic matter aerosol,kg m-2 s-1,sedimentation_of_hydrophilic_organic_matter_aerosol,aersdmomhphil,215054.00,,X,,Only available from 26 June 2018 12UTC
Sedimentation of hydrophobic black carbon aerosol,kg m-2 s-1,sedimentation_of_hydrophobic_black_carbon_aerosol,aersdmbchphob,215069.00,,X,,Only available from 26 June 2018 12UTC
Sedimentation of hydrophobic organic matter aerosol,kg m-2 s-1,sedimentation_of_hydrophobic_organic_matter_aerosol,aersdmomhphob,215053.00,,X,,Only available from 26 June 2018 12UTC
Sedimentation of sea salt aerosol (0.03 - 0.5 um),kg m-2 s-1,sedimentation_of_sea_salt_aerosol_0.03-0.5um,aersdmsss,215007.00,,X,,Only available from 26 June 2018 12UTC
Sedimentation of sea salt aerosol (0.5 - 5 um),kg m-2 s-1,sedimentation_of_sea_salt_aerosol_0.5-5um,aersdmssm,215008.00,,X,,Only available from 26 June 2018 12UTC
Sedimentation of sea salt aerosol (5 - 20 um),kg m-2 s-1,sedimentation_of_sea_salt_aerosol_5-20um,aersdmssl,215009.00,,X,,Only available from 26 June 2018 12UTC
Sedimentation of sulphate aerosol,kg m-2 s-1,sedimentation_of_sulphate_aerosol,aersdmsu,215083.00,,X,,Only available from 26 June 2018 12UTC
Single scattering albedo at 1020 nm,(0 - 1),single_scattering_albedo_1020nm,ssa1020,215146.00,,X,X,Only available from 26 June 2018 12UTC
Single scattering albedo at 1064 nm,(0 - 1),single_scattering_albedo_1064nm,ssa1064,215147.00,,X,X,Only available from 26 June 2018 12UTC
Single scattering albedo at 1240 nm,(0 - 1),single_scattering_albedo_1240nm,ssa1240,215148.00,,X,X,Only available from 26 June 2018 12UTC
Single scattering albedo at 1640 nm,(0 - 1),single_scattering_albedo_1640nm,ssa1640,215149.00,,X,X,Only available from 26 June 2018 12UTC
Single scattering albedo at 2130 nm,(0 - 1),single_scattering_albedo_2130nm,ssa2130,215178.00,,X,X,Only available from 26 June 2018 12UTC
Single scattering albedo at 340 nm,(0 - 1),single_scattering_albedo_340nm,ssa340,215132.00,,X,X,Only available from 26 June 2018 12UTC
Single scattering albedo at 355 nm,(0 - 1),single_scattering_albedo_355nm,ssa355,215133.00,,X,X,Only available from 26 June 2018 12UTC
Single scattering albedo at 380 nm,(0 - 1),single_scattering_albedo_380nm,ssa380,215134.00,,X,X,Only available from 26 June 2018 12UTC
Single scattering albedo at 400 nm,(0 - 1),single_scattering_albedo_400nm,ssa400,215135.00,,X,X,Only available from 26 June 2018 12UTC
Single scattering albedo at 440 nm,(0 - 1),single_scattering_albedo_440nm,ssa440,215136.00,,X,X,Only available from 26 June 2018 12UTC
Single scattering albedo at 469 nm,(0 - 1),single_scattering_albedo_469nm,ssa469,215137.00,,X,X,Only available from 26 June 2018 12UTC
Single scattering albedo at 500 nm,(0 - 1),single_scattering_albedo_500nm,ssa500,215138.00,,X,X,Only available from 26 June 2018 12UTC
Single scattering albedo at 532 nm,(0 - 1),single_scattering_albedo_532nm,ssa532,215139.00,,X,X,Only available from 26 June 2018 12UTC
Single scattering albedo at 550 nm,(0 - 1),single_scattering_albedo_550nm,ssa550,215140.00,,X,X,Only available from 26 June 2018 12UTC
Single scattering albedo at 645 nm,(0 - 1),single_scattering_albedo_645nm,ssa645,215141.00,,X,X,Only available from 26 June 2018 12UTC
Single scattering albedo at 670 nm,(0 - 1),single_scattering_albedo_670nm,ssa670,215142.00,,X,X,Only available from 26 June 2018 12UTC
Single scattering albedo at 800 nm,(0 - 1),single_scattering_albedo_800nm,ssa800,215143.00,,X,X,Only available from 26 June 2018 12UTC
Single scattering albedo at 858 nm,(0 - 1),single_scattering_albedo_858nm,ssa858,215144.00,,X,X,Only available from 26 June 2018 12UTC
Single scattering albedo at 865 nm,(0 - 1),single_scattering_albedo_865nm,ssa865,215145.00,,X,X,Only available from 26 June 2018 12UTC
Skin reservoir content,m of water equivalent,skin_reservoir_content,src,198.00,,X,X,
Skin temperature,K,skin_temperature,skt,235.00,,X,X,
Snow albedo,(0 - 1),snow_albedo,asn,32.00,,X,X,
Snow depth,m of water equivalent,snow_depth,sd,141.00,,X,X,
Sulphate Aerosol Optical Depth at 550nm,dimensionless,sulphate_aerosol_optical_depth_550nm,suaod550,210212.00,,,X,
Sunshine duration,s,sunshine_duration,sund,189.00,,X,,
Surface latent heat flux,J m-2,surface_latent_heat_flux,slhf,147.00,,X,,
Surface net solar radiation,J m-2,surface_net_solar_radiation,ssr,176.00,,X,,
"Surface net solar radiation, clear sky",J m-2,surface_net_solar_radiation_clear_sky,ssrc,210.00,,X,,
Surface net thermal radiation,J m-2,surface_net_thermal_radiation,str,177.00,,X,,
"Surface net thermal radiation, clear sky",J m-2,surface_net_thermal_radiation_clear_sky,strc,211.00,,X,,
Surface sensible heat flux,J m-2,surface_sensible_heat_flux,sshf,146.00,,X,X,
Surface solar radiation downward clear-sky,J m-2,surface_solar_radiation_downward_clear_sky,ssrdc,228129.00,,X,,
Surface solar radiation downwards,J m-2,surface_solar_radiation_downwards,ssrd,169.00,,X,,
Surface thermal radiation downward clear-sky,J m-2,surface_thermal_radiation_downward_clear_sky,strdc,228130.00,,X,,
Surface thermal radiation downwards,J m-2,surface_thermal_radiation_downwards,strd,175.00,,X,,
Time-integrated dry deposition mass flux of Ammonia,kg m-2,time_integrated_dry_deposition_mass_flux_of_ammonia,acc_dry_depm_NH3,222019.00,,X,X,Available from 28 June 2023
Time-integrated dry deposition mass flux of Dinitrogen pentoxide,kg m-2,time_integrated_dry_deposition_mass_flux_of_dinitrogen_pentoxide,acc_dry_depm_N2O5,222033.00,,X,X,Available from 28 June 2023
Time-integrated dry deposition mass flux of Nitric acid,kg m-2,time_integrated_dry_deposition_mass_flux_of_nitric_acid,acc_dry_depm_HNO3,222006.00,,X,X,Available from 28 June 2023
Time-integrated dry deposition mass flux of Nitrogen dioxide,kg m-2,time_integrated_dry_deposition_mass_flux_of_nitrogen_dioxide,acc_dry_depm_NO2,222031.00,,X,X,Available from 28 June 2023
Time-integrated dry deposition mass flux of Nitrogen monoxide,kg m-2,time_integrated_dry_deposition_mass_flux_of_nitrogen_monoxide,acc_dry_depm_NO,222027.00,,X,X,Available from 28 June 2023
Time-integrated dry deposition mass flux of Organic nitrates,kg m-2,time_integrated_dry_deposition_mass_flux_of_organic_nitrates,acc_dry_depm_ONIT,222015.00,,X,X,Available from 28 June 2023
Time-integrated dry deposition mass flux of Ozone,kg m-2,time_integrated_dry_deposition_mass_flux_of_ozone,acc_dry_depm_O3,222001.00,,X,X,Available from 28 June 2023
Time-integrated dry deposition mass flux of Peroxyacetyl nitrate,kg m-2,time_integrated_dry_deposition_mass_flux_of_peroxyacetyl_nitrate,acc_dry_depm_PAN,222013.00,,X,X,Available from 28 June 2023
Time-integrated dry deposition mass flux of Sulphur dioxide,kg m-2,time_integrated_dry_deposition_mass_flux_of_sulphur_dioxide,acc_dry_depm_SO2,222017.00,,X,X,Available from 28 June 2023
Time-integrated wet deposition mass flux of Ammonia,kg m-2,time_integrated_wet_deposition_mass_flux_of_ammonia,acc_wet_depm_NH3,223019.00,,X,X,Available from 28 June 2023
Time-integrated wet deposition mass flux of Dinitrogen pentoxide,kg m-2,time_integrated_wet_deposition_mass_flux_of_dinitrogen_pentoxide,acc_wet_depm_N2O5,223033.00,,X,X,Available from 28 June 2023
Time-integrated wet deposition mass flux of Nitric acid,kg m-2,time_integrated_wet_deposition_mass_flux_of_nitric_acid,acc_wet_depm_HNO3,223006.00,,X,X,Available from 28 June 2023
Time-integrated wet deposition mass flux of Nitrogen dioxide,kg m-2,time_integrated_wet_deposition_mass_flux_of_nitrogen_dioxide,acc_wet_depm_NO2,223031.00,,X,X,Available from 28 June 2023
Time-integrated wet deposition mass flux of Nitrogen monoxide,kg m-2,time_integrated_wet_deposition_mass_flux_of_nitrogen_monoxide,acc_wet_depm_NO,223027.00,,X,X,Available from 28 June 2023
Time-integrated wet deposition mass flux of Organic nitrates,kg m-2,time_integrated_wet_deposition_mass_flux_of_organic_nitrates,acc_wet_depm_ONIT,223015.00,,X,X,Available from 28 June 2023
Time-integrated wet deposition mass flux of Peroxyacetyl nitrate,kg m-2,time_integrated_wet_deposition_mass_flux_of_peroxyacetyl_nitrate,acc_wet_depm_PAN,223013.00,,X,X,Available from 28 June 2023
Time-integrated wet deposition mass flux of Sulphur dioxide,kg m-2,time_integrated_wet_deposition_mass_flux_of_sulphur_dioxide,acc_wet_depm_SO2,223017.00,,X,X,Available from 28 June 2023
TOA incident solar radiation,J m-2,toa_incident_solar_radiation,tisr,212.00,,X,,
Top net solar radiation,J m-2,top_net_solar_radiation,tsr,178.00,,X,,
"Top net solar radiation, clear sky",J m-2,top_net_solar_radiation_clear_sky,tsrc,208.00,,X,,
Top net thermal radiation,J m-2,top_net_thermal_radiation,ttr,179.00,,X,,
"Top net thermal radiation, clear sky",J m-2,top_net_thermal_radiation_clear_sky,ttrc,209.00,,X,,
Total absorption aerosol optical depth at 1020 nm,dimensionless,total_absorption_aerosol_optical_depth_1020nm,aodabs1020,215110.00,,X,X,Only available from 26 June 2018 12UTC
Total absorption aerosol optical depth at 1064 nm,dimensionless,total_absorption_aerosol_optical_depth_1064nm,aodabs1064,215111.00,,X,X,Only available from 26 June 2018 12UTC
Total absorption aerosol optical depth at 1240 nm,dimensionless,total_absorption_aerosol_optical_depth_1240nm,aodabs1240,215112.00,,X,X,Only available from 26 June 2018 12UTC
Total absorption aerosol optical depth at 1640 nm,dimensionless,total_absorption_aerosol_optical_depth_1640nm,aodabs1640,215113.00,,X,X,Only available from 26 June 2018 12UTC
Total absorption aerosol optical depth at 2130 nm,dimensionless,total_absorption_aerosol_optical_depth_2130nm,aodabs2130,215176.00,,X,X,Only available from 26 June 2018 12UTC
Total absorption aerosol optical depth at 340 nm,dimensionless,total_absorption_aerosol_optical_depth_340nm,aodabs340,215096.00,,X,X,Only available from 26 June 2018 12UTC
Total absorption aerosol optical depth at 355 nm,dimensionless,total_absorption_aerosol_optical_depth_355nm,aodabs355,215097.00,,X,X,Only available from 26 June 2018 12UTC
Total absorption aerosol optical depth at 380 nm,dimensionless,total_absorption_aerosol_optical_depth_380nm,aodabs380,215098.00,,X,X,Only available from 26 June 2018 12UTC
Total absorption aerosol optical depth at 400 nm,dimensionless,total_absorption_aerosol_optical_depth_400nm,aodabs400,215099.00,,X,X,Only available from 26 June 2018 12UTC
Total absorption aerosol optical depth at 440 nm,dimensionless,total_absorption_aerosol_optical_depth_440nm,aodabs440,215100.00,,X,X,Only available from 26 June 2018 12UTC
Total absorption aerosol optical depth at 469 nm,dimensionless,total_absorption_aerosol_optical_depth_469nm,aodabs469,215101.00,,X,X,Only available from 26 June 2018 12UTC
Total absorption aerosol optical depth at 500 nm,dimensionless,total_absorption_aerosol_optical_depth_500nm,aodabs500,215102.00,,X,X,Only available from 26 June 2018 12UTC
Total absorption aerosol optical depth at 532 nm,dimensionless,total_absorption_aerosol_optical_depth_532nm,aodabs532,215103.00,,X,X,Only available from 26 June 2018 12UTC
Total absorption aerosol optical depth at 550 nm,dimensionless,total_absorption_aerosol_optical_depth_550nm,aodabs550,215104.00,,X,X,Only available from 26 June 2018 12UTC
Total absorption aerosol optical depth at 645 nm,dimensionless,total_absorption_aerosol_optical_depth_645nm,aodabs645,215105.00,,X,X,Only available from 26 June 2018 12UTC
